ID,X.1,X.2,cluster
1,0.2767238702,0.7937618507,0
2,0.3464067419,0.7976953967,0
3,0.2960328834,0.8453814897,0
4,0.3335187614,0.7745046784,0
5,0.3476250076,0.737573426,0
6,0.443881274,0.7600298214,0
7,0.3580732534,0.7364205497,0
8,0.3050187955,0.7229843552,0
9,0.2352373963,0.7642242936,0
10,0.304483875,0.7200661251,0
11,0.2995202539,0.7642739693,0
12,0.3653933845,0.7720312788,0
13,0.3185230646,0.755125049,0
14,0.41158992,0.7491516429,0
15,0.3051262705,0.7303324151,0
16,0.2963406875,0.7111991142,0
17,0.3175736952,0.7925603781,0
18,0.2961760273,0.7582177767,0
19,0.3123338286,0.7918072693,0
20,0.293695419,0.7056123167,0
21,0.248758651,0.7643088981,0
22,0.2790805838,0.7852464129,0
23,0.3239217313,0.7561977466,0
24,0.371562662,0.7493402962,0
25,0.3079158769,0.7248155447,0
26,0.3419005372,0.8427668906,0
27,0.2632518018,0.7884582312,0
28,0.3920222396,0.8330505226,0
29,0.3425449576,0.7606140048,0
30,0.3077518059,0.7310658742,0
31,0.3315800978,0.6944404234,0
32,0.3504524625,0.7308710709,0
33,0.3379337229,0.7666876003,0
34,0.2991329386,0.7993887714,0
35,0.2881007723,0.7677860414,0
36,0.2978589067,0.7086166617,0
37,0.2308578947,0.785061517,0
38,0.2765415875,0.6887584285,0
39,0.3133293845,0.7420947666,0
40,0.3526793209,0.744160274,0
41,0.2040430264,0.676376116,0
42,0.2971444516,0.7955000915,0
43,0.3536989213,0.7314204549,0
44,0.3175330707,0.7434161053,0
45,0.3387507335,0.8152311459,0
46,0.3366870883,0.7837308621,0
47,0.3640477803,0.7527857408,0
48,0.3204255806,0.7786261994,0
49,0.3120232083,0.7738712565,0
50,0.3700298781,0.8263493928,0
51,0.4595548631,0.7687472082,0
52,0.3358635434,0.7783151245,0
53,0.3240523936,0.7717232718,0
54,0.3005974239,0.7416219178,0
55,0.3228223512,0.7613432846,0
56,0.3081093676,0.8253480017,0
57,0.3708700556,0.7209246636,0
58,0.2957423697,0.762345869,0
59,0.2954220202,0.8138599019,0
60,0.3148269424,0.747544949,0
61,0.2689091211,0.7135408247,0
62,0.3084802584,0.7211659126,0
63,0.3142989485,0.7410866068,0
64,0.314146129,0.7220976032,0
65,0.3071320695,0.7464643786,0
66,0.2812501274,0.7400777037,0
67,0.3064983115,0.749686723,0
68,0.2977348953,0.7741945471,0
69,0.3724732157,0.7832307736,0
70,0.3406654952,0.8269868669,0
71,0.2639380425,0.7544361079,0
72,0.3761084463,0.7439641811,0
73,0.3145604238,0.8183816093,0
74,0.3084580669,0.8280718126,0
75,0.2847520591,0.7590850101,0
76,0.339767559,0.7434733905,0
77,0.3186904048,0.6816094837,0
78,0.3985083323,0.8159004,0
79,0.3112160166,0.7225032646,0
80,0.3529615225,0.7106178622,0
81,0.3351895746,0.8837001642,0
82,0.3746075738,0.7670497427,0
83,0.3092914928,0.7559077663,0
84,0.2975944826,0.6438167878,0
85,0.3379292716,0.7531446161,0
86,0.2494834762,0.7978247655,0
87,0.2974291946,0.7744774913,0
88,0.2858804918,0.795178833,0
89,0.2401642186,0.8396757352,0
90,0.5753967173,0.6651591921,1
91,0.6027552042,0.7630859512,1
92,0.6298063099,0.7750245583,1
93,0.5506727403,0.7084254364,1
94,0.606521215,0.7302431606,1
95,0.7073718949,0.6409609333,1
96,0.7621646302,0.740380783,1
97,0.6232201025,0.6618145342,1
98,0.4867168147,0.7634256441,1
99,0.5280452757,0.6544042509,1
100,0.5027591662,0.7302663138,1
101,0.5183597502,0.652050099,1
102,0.5630883626,0.6923522864,1
103,0.6853734111,0.6046652444,1
104,0.5704807867,0.7174554547,1
105,0.4771208378,0.7749482671,1
106,0.8120977858,0.7211326395,1
107,0.6366888451,0.5903512198,1
108,0.5103122399,0.6672106577,1
109,0.5488004481,0.8199357103,1
110,0.5313146809,0.8302509184,1
111,0.5536068158,0.6300115993,1
112,0.5481236842,0.6842389732,1
113,0.5832891777,0.7325625101,1
114,0.6457545543,0.7302501283,1
